Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Consumer_Make_Payment,Firefox 68.0,,,2019-09-30 01:00:15,2019-09-30 01:07:37,7m - 21.424s,INCOMPLETE
,,,,,,,
Test Cases/Consumer_Make_Payment/TC_001_Credit_SingleLine_Payment,Firefox 68.0,,,2019-09-30 01:00:16,2019-09-30 01:01:24,1m - 8.368s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-09-30 01:00:17,2019-09-30 01:00:17,0.018s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-09-30 01:00:17,2019-09-30 01:00:17,0.289s,PASSED
"utilities.SafeActions.openBrowser(certpay_url, [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:17,2019-09-30 01:00:31,13.660s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Home_ Page/BUREAU_CODE""), bureauCode, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:31,2019-09-30 01:00:32,1.088s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/BEGIN_PAYMENT""), ""Begin payment"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:32,2019-09-30 01:00:34,1.876s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:34,2019-09-30 01:00:35,1.312s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Home_ Page/BANK_CARD""), ""Bank card"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:35,2019-09-30 01:00:37,1.706s,PASSED
"pages.Payment_Page.setAmount(""1"", paymentAmount, ""testing"", referenceNum)",Firefox 68.0,,,2019-09-30 01:00:37,2019-09-30 01:00:39,2.006s,PASSED
waitForPageLoad(0),Firefox 68.0,,,2019-09-30 01:00:39,2019-09-30 01:00:39,0.035s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/CARD_TYPE""), CardType, ""CardType"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:39,2019-09-30 01:00:40,1.246s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/PAYMENT_TYPE""), paymentType, ""Payment Type"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:40,2019-09-30 01:00:41,1.170s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/NEXT_BUTTON""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:41,2019-09-30 01:00:42,1.072s,PASSED
"pages.Payment_Page.setPersonalDetails(firstName, lastName, telephone)",Firefox 68.0,,,2019-09-30 01:00:42,2019-09-30 01:00:45,2.817s,PASSED
"pages.Payment_Page.setLocationDetails(address, zipCode)",Firefox 68.0,,,2019-09-30 01:00:45,2019-09-30 01:00:47,1.399s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:47,2019-09-30 01:00:48,1.062s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), ""Billing CheckBox"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:48,2019-09-30 01:00:50,1.772s,PASSED
waitForPageLoad(0),Firefox 68.0,,,2019-09-30 01:00:50,2019-09-30 01:00:50,0.128s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:50,2019-09-30 01:00:51,1.021s,PASSED
delay(mediumWait),Firefox 68.0,,,2019-09-30 01:00:51,2019-09-30 01:00:56,5.021s,PASSED
"pages.Payment_Page.setCardDetails(cardNum, securityCode, expYear, expMonth)",Firefox 68.0,,,2019-09-30 01:00:56,2019-09-30 01:00:59,3.764s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/EMAIL_ADDRESS""), emailAddress, ""EmailAddress"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:00:59,2019-09-30 01:01:00,0.663s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:01:00,2019-09-30 01:01:01,0.990s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/I_AGREE""), ""I agree"", [pageLoadTime])",Firefox 68.0,,,2019-09-30 01:01:01,2019-09-30 01:01:02,1.136s,PASSED
