Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Certpay_Quicksti,Chrome 76.0.3809.100,,,2019-10-04 09:55:20,2019-10-04 10:14:13,18m - 53.081s,INCOMPLETE
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_Visa_SingleLinePayment,Chrome 76.0.3809.100,,,2019-10-04 09:55:23,2019-10-04 09:57:07,1m - 44.222s,PASSED
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-04 09:55:24,2019-10-04 09:55:24,0.008s,PASSED
Start setup action : setupTestCase,Chrome 76.0.3809.100,,,2019-10-04 09:55:24,2019-10-04 09:55:26,2.177s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-04 09:55:29,2019-10-04 09:55:50,21.445s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/BUREAU_CODE""), bureau_code, ""Bureau code"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-04 09:55:50,2019-10-04 09:55:55,5.095s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/TELLER_ID""), teller_id, ""Bureau code"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-04 09:55:55,2019-10-04 09:55:57,2.431s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/NEXT_BUTTON""), ""Next button"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-04 09:55:57,2019-10-04 09:56:00,2.924s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/MANUAL_ENTRY_BUTTON""), ""ManualEntry"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-04 09:56:00,2019-10-04 09:56:04,3.339s,PASSED
"CardNumber = pages.Quicksti.setUserPaymentDetails(firstName, lastName, VISA)",Chrome 76.0.3809.100,,,2019-10-04 09:56:04,2019-10-04 09:56:13,9.234s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/PAYMENT_TYPE""), ""Taxes"", ""paymentType"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-04 09:56:13,2019-10-04 09:56:15,2.055s,PASSED
"pages.Quicksti.setExpDate(expMonth, expYear, securityCode)",Chrome 76.0.3809.100,,,2019-10-04 09:56:15,2019-10-04 09:56:23,7.703s,PASSED
