Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti,Chrome 76.0.3809.100,,,2019-10-29 04:44:31,2019-10-29 04:48:36,4m - 4.972s,INCOMPLETE
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_SingleBureauSite_SingleLinePayment,Chrome 76.0.3809.100,,,2019-10-29 04:44:33,2019-10-29 04:45:41,1m - 8.120s,ERROR
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-29 04:44:33,2019-10-29 04:44:33,0.016s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Chrome 76.0.3809.100,,,2019-10-29 04:44:37,2019-10-29 04:44:40,3.222s,PASSED
paymentIdList = [],Chrome 76.0.3809.100,,,2019-10-29 04:44:40,2019-10-29 04:44:40,0.000s,PASSED
for (def index : (1..data.getRowNumbers())),Chrome 76.0.3809.100,,,2019-10-29 04:44:40,2019-10-29 04:45:41,1m - 0.648s,ERROR
Start listener action : afterTestCase,Chrome 76.0.3809.100,,,2019-10-29 04:45:41,2019-10-29 04:45:41,0.001s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_002_MultiBureauSite_SingleBureau_MultiLinePayment,Chrome 76.0.3809.100,,,2019-10-29 04:45:41,2019-10-29 04:46:32,51.556s,ERROR
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-29 04:45:43,2019-10-29 04:45:43,0.001s,PASSED
"data = findTestData(""Certpay/SingleBureau_MultiLine"")",Chrome 76.0.3809.100,,,2019-10-29 04:45:46,2019-10-29 04:45:46,0.147s,PASSED
amountList = [],Chrome 76.0.3809.100,,,2019-10-29 04:45:46,2019-10-29 04:45:46,0.001s,PASSED
referenceList = [],Chrome 76.0.3809.100,,,2019-10-29 04:45:46,2019-10-29 04:45:46,0.001s,PASSED
paymentTypeList = [],Chrome 76.0.3809.100,,,2019-10-29 04:45:46,2019-10-29 04:45:46,0.000s,PASSED
quantityList = [],Chrome 76.0.3809.100,,,2019-10-29 04:45:46,2019-10-29 04:45:46,0.000s,PASSED
commentsList = [],Chrome 76.0.3809.100,,,2019-10-29 04:45:46,2019-10-29 04:45:46,0.001s,PASSED
paymentIdList = [],Chrome 76.0.3809.100,,,2019-10-29 04:45:46,2019-10-29 04:45:46,0.003s,PASSED
list = new java.util.ArrayList(),Chrome 76.0.3809.100,,,2019-10-29 04:45:46,2019-10-29 04:45:46,0.001s,PASSED
