Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Consumer_Make_Payment,Firefox 68.0,,,2019-10-24 03:55:39,2019-10-24 04:11:28,15m - 48.691s,INCOMPLETE
,,,,,,,
Test Cases/Consumer_Make_Payment/TC_001_Credit_SingleLine_Payment,Firefox 68.0,,,2019-10-24 03:55:42,2019-10-24 03:59:17,3m - 34.245s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-24 03:55:47,2019-10-24 03:55:47,0.009s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-24 03:55:47,2019-10-24 03:55:49,1.805s,PASSED
"utilities.SafeActions.openBrowser(certpay_url, [pageLoadTime])",Firefox 68.0,Open Certpay application,,2019-10-24 03:55:53,2019-10-24 03:57:42,1m - 49.230s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Home_ Page/BUREAU_CODE""), bureauCode, ""Bureau code"", [pageLoadTime])",Firefox 68.0,Enter valid Bureau code,,2019-10-24 03:57:42,2019-10-24 03:57:44,2.052s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/BEGIN_PAYMENT""), ""Begin payment"", [pageLoadTime])",Firefox 68.0,Click on 'Begin Payment',,2019-10-24 03:57:44,2019-10-24 03:57:47,3.023s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,Click on 'Continue',,2019-10-24 03:57:47,2019-10-24 03:57:52,4.566s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Home_ Page/BANK_CARD""), ""Bank card"", [pageLoadTime])",Firefox 68.0,Select 'Bank card' radio button,,2019-10-24 03:57:52,2019-10-24 03:57:54,2.145s,PASSED
"pages.Payment_Page.setAmount(""1"", paymentAmount, ""testing"", referenceNum)",Firefox 68.0,"Enter Payment Amount,reference num,comments",,2019-10-24 03:57:54,2019-10-24 03:57:56,2.613s,PASSED
waitForPageLoad(0),Firefox 68.0,,,2019-10-24 03:57:56,2019-10-24 03:57:57,0.035s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/CARD_TYPE""), CardType, ""CardType"", [pageLoadTime])",Firefox 68.0,Select 'Visa' from card type dropdown,,2019-10-24 03:57:57,2019-10-24 03:57:58,1.925s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/PAYMENT_TYPE""), paymentType, ""Payment Type"", [pageLoadTime])",Firefox 68.0,Select 'Payment type',,2019-10-24 03:57:58,2019-10-24 03:58:00,1.927s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/NEXT_BUTTON""), ""Continue"", [pageLoadTime])",Firefox 68.0,Click on 'Continue',,2019-10-24 03:58:00,2019-10-24 03:58:03,2.969s,PASSED
"pages.Payment_Page.setPersonalDetails(firstName, lastName, telephone)",Firefox 68.0,"Enter First and Last name,telephone",,2019-10-24 03:58:03,2019-10-24 03:58:07,3.786s,PASSED
"pages.Payment_Page.setLocationDetails(address, zipCode)",Firefox 68.0,"Enter address and zip code
",,2019-10-24 03:58:07,2019-10-24 03:58:09,1.589s,PASSED
"waitForElementClickable(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), 30)",Firefox 68.0,,,2019-10-24 03:58:09,2019-10-24 03:58:09,0.254s,PASSED
"pages.Payment_Page.clickOnElement(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""))",Firefox 68.0,Click on 'Continue',,2019-10-24 03:58:09,2019-10-24 03:58:09,0.503s,PASSED
"waitForElementClickable(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), 30)",Firefox 68.0,,,2019-10-24 03:58:09,2019-10-24 03:58:11,2.016s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), ""Billing CheckBox"", [pageLoadTime])",Firefox 68.0,"""Select checkbox 'My billing information is same 
information i entered in previous page'""",,2019-10-24 03:58:11,2019-10-24 03:58:14,2.317s,PASSED
waitForPageLoad(2),Firefox 68.0,,,2019-10-24 03:58:14,2019-10-24 03:58:14,0.294s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,Click on 'Continue',,2019-10-24 03:58:14,2019-10-24 03:58:16,2.323s,PASSED
delay(mediumWait),Firefox 68.0,,,2019-10-24 03:58:16,2019-10-24 03:58:21,5.025s,PASSED
"pages.Payment_Page.setCardDetails(cardNum, securityCode, expYear, expMonth)",Firefox 68.0,"Enter card number,exp date, exp month and security code
",,2019-10-24 03:58:21,2019-10-24 03:58:27,5.831s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/EMAIL_ADDRESS""), emailAddress, ""EmailAddress"", [pageLoadTime])",Firefox 68.0,"Enter Email address
",,2019-10-24 03:58:27,2019-10-24 03:58:28,1.130s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,Click on continue,,2019-10-24 03:58:28,2019-10-24 03:58:31,2.780s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/I_AGREE""), ""I agree"", [pageLoadTime])",Firefox 68.0,"Click on i agree
",,2019-10-24 03:58:31,2019-10-24 03:58:34,2.927s,PASSED
"pages.Payment_Page.verifyUserDetails(firstName, lastName, emailAddress, CardType, """")",Firefox 68.0,"Verify user details like first and last name,card type ,email address",,2019-10-24 03:58:34,2019-10-24 03:58:39,4.455s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Verification_ Details/PROCESS_PAYMENT""), ""Process Payment"", [pageLoadTime])",Firefox 68.0,Click on process payment,,2019-10-24 03:58:39,2019-10-24 03:58:40,1.879s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Verification_ Details/YES_BUTTON""), ""yes button"", [pageLoadTime])",Firefox 68.0,Click on 'Yes',,2019-10-24 03:58:40,2019-10-24 03:58:43,3.028s,PASSED
"verifyElementPresent(findTestObject(""MAKE_ PAYMENT/Verification_ Details/APPROVED""), 30)",Firefox 68.0,Verify Payment Approval,,2019-10-24 03:58:43,2019-10-24 03:58:44,0.344s,PASSED
PaymentId = pages.Payment_Page.verifyCardPaymentApproval(referenceNum),Firefox 68.0,Verify payment approval and note the paymentId,,2019-10-24 03:58:44,2019-10-24 03:58:47,3.326s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/SEARCH_PAYMENT""), ""Search Payment"", [pageLoadTime])",Firefox 68.0,Click on 'Search Payment',,2019-10-24 03:58:47,2019-10-24 03:58:48,1.236s,PASSED
waitForPageLoad(10),Firefox 68.0,,,2019-10-24 03:58:48,2019-10-24 03:58:49,0.152s,PASSED
pages.Search_Page.switchToWindow(),Firefox 68.0,,,2019-10-24 03:58:49,2019-10-24 03:58:49,0.424s,PASSED
"waitForElementClickable(findTestObject(""SEARCH_PAYMENT/CREDIT_OR_DEBIT_CARD""), 0)",Firefox 68.0,,,2019-10-24 03:58:49,2019-10-24 03:58:58,8.617s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""SEARCH_PAYMENT/CREDIT_OR_DEBIT_CARD""), ""Credit card"", [mediumWait])",Firefox 68.0,Select 'Credit or debit card' radio button,,2019-10-24 03:58:58,2019-10-24 03:58:59,1.633s,PASSED
