Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Certpay_Quicksti,Firefox 68.0,,,2019-10-09 07:14:16,2019-10-09 07:31:53,17m - 37.007s,INCOMPLETE
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_Visa_SingleLinePayment,Firefox 68.0,,,2019-10-09 07:14:20,2019-10-09 07:15:35,1m - 14.637s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-09 07:14:21,2019-10-09 07:14:21,0.016s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-09 07:14:21,2019-10-09 07:14:22,0.817s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:14:23,2019-10-09 07:14:48,24.349s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/BUREAU_CODE""), bureau_code, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:14:48,2019-10-09 07:14:49,1.069s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/TELLER_ID""), teller_id, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:14:49,2019-10-09 07:14:49,0.766s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/NEXT_BUTTON""), ""Next button"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:14:49,2019-10-09 07:14:52,2.058s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/MANUAL_ENTRY_BUTTON""), ""ManualEntry"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:14:52,2019-10-09 07:14:54,2.424s,PASSED
"CardNumber = pages.Quicksti.setUserPaymentDetails(firstName, lastName, VISA)",Firefox 68.0,,,2019-10-09 07:14:54,2019-10-09 07:14:57,3.019s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/PAYMENT_TYPE""), ""Taxes"", ""paymentType"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:14:57,2019-10-09 07:14:59,1.558s,PASSED
"pages.Quicksti.setExpDate(expMonth, expYear, securityCode)",Firefox 68.0,,,2019-10-09 07:14:59,2019-10-09 07:15:03,4.012s,PASSED
"pages.Quicksti.setPaymentAmountDetailsForSinglePayment(paymentAmount, quantity)",Firefox 68.0,,,2019-10-09 07:15:03,2019-10-09 07:15:05,2.428s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/REFRENCE_NUMBER""), referenceNum, ""Reference Number"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:15:05,2019-10-09 07:15:06,0.833s,PASSED
"auto_CalculatedAmount = pages.Quicksti.getAttributeValue(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/SUB_TOTAL""))",Firefox 68.0,,,2019-10-09 07:15:06,2019-10-09 07:15:06,0.281s,PASSED
"value = getText(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/SUB_TOTAL""))",Firefox 68.0,,,2019-10-09 07:15:06,2019-10-09 07:15:06,0.002s,NOT_RUN
println(value),Firefox 68.0,,,2019-10-09 07:15:06,2019-10-09 07:15:06,0.001s,NOT_RUN
"ele = executeJavaScript(""document.getElementById('Sub_000_00').value;"")",Firefox 68.0,,,2019-10-09 07:15:06,2019-10-09 07:15:06,0.001s,NOT_RUN
pages.Quicksti.javaScriptToGetValue(),Firefox 68.0,,,2019-10-09 07:15:06,2019-10-09 07:15:06,0.002s,NOT_RUN
