Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Consumer_Make_Payment,Firefox 68.0,,,2019-10-09 07:54:57,2019-10-09 08:03:56,8m - 58.616s,INCOMPLETE
,,,,,,,
Test Cases/Consumer_Make_Payment/TC_001_Credit_SingleLine_Payment,Firefox 68.0,,,2019-10-09 07:54:59,2019-10-09 07:56:42,1m - 43.621s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-09 07:55:01,2019-10-09 07:55:01,0.053s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-09 07:55:01,2019-10-09 07:55:03,1.513s,PASSED
"utilities.SafeActions.openBrowser(certpay_url, [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:04,2019-10-09 07:55:25,21.646s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Home_ Page/BUREAU_CODE""), bureauCode, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:25,2019-10-09 07:55:27,1.345s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/BEGIN_PAYMENT""), ""Begin payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:27,2019-10-09 07:55:30,3.169s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:30,2019-10-09 07:55:33,3.442s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Home_ Page/BANK_CARD""), ""Bank card"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:33,2019-10-09 07:55:35,1.737s,PASSED
"pages.Payment_Page.setAmount(""1"", paymentAmount, ""testing"", referenceNum)",Firefox 68.0,,,2019-10-09 07:55:35,2019-10-09 07:55:37,2.177s,PASSED
waitForPageLoad(0),Firefox 68.0,,,2019-10-09 07:55:37,2019-10-09 07:55:37,0.042s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/CARD_TYPE""), CardType, ""CardType"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:37,2019-10-09 07:55:38,1.299s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/PAYMENT_TYPE""), paymentType, ""Payment Type"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:38,2019-10-09 07:55:40,1.302s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/NEXT_BUTTON""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:40,2019-10-09 07:55:42,2.697s,PASSED
"pages.Payment_Page.setPersonalDetails(firstName, lastName, telephone)",Firefox 68.0,,,2019-10-09 07:55:42,2019-10-09 07:55:45,2.352s,PASSED
"pages.Payment_Page.setLocationDetails(address, zipCode)",Firefox 68.0,,,2019-10-09 07:55:45,2019-10-09 07:55:46,1.476s,PASSED
"pages.Payment_Page.clickOnElement(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""))",Firefox 68.0,,,2019-10-09 07:55:46,2019-10-09 07:55:46,0.186s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), ""Billing CheckBox"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:46,2019-10-09 07:55:52,5.496s,PASSED
waitForPageLoad(2),Firefox 68.0,,,2019-10-09 07:55:52,2019-10-09 07:55:52,0.014s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:55:52,2019-10-09 07:55:55,2.668s,PASSED
delay(mediumWait),Firefox 68.0,,,2019-10-09 07:55:55,2019-10-09 07:56:00,5.026s,PASSED
"newList = pages.Payment_Page.setCardDetails(cardNum, securityCode, expYear, expMonth)",Firefox 68.0,,,2019-10-09 07:56:00,2019-10-09 07:56:04,4.208s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/EMAIL_ADDRESS""), emailAddress, ""EmailAddress"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:56:04,2019-10-09 07:56:05,0.711s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:56:05,2019-10-09 07:56:07,2.738s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/I_AGREE""), ""I agree"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:56:07,2019-10-09 07:56:10,2.571s,PASSED
"pages.Payment_Page.verifyUserDetails(firstName, lastName, emailAddress, CardType, """")",Firefox 68.0,,,2019-10-09 07:56:10,2019-10-09 07:56:12,2.590s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Verification_ Details/PROCESS_PAYMENT""), ""Process Payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:56:12,2019-10-09 07:56:13,0.954s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Verification_ Details/YES_BUTTON""), ""yes button"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:56:13,2019-10-09 07:56:18,4.722s,PASSED
"verifyElementPresent(findTestObject(""MAKE_ PAYMENT/Verification_ Details/APPROVED""), 30)",Firefox 68.0,,,2019-10-09 07:56:18,2019-10-09 07:56:18,0.094s,PASSED
PaymentId = pages.Payment_Page.verifyCardPaymentApproval(referenceNum),Firefox 68.0,,,2019-10-09 07:56:18,2019-10-09 07:56:21,3.213s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/SEARCH_PAYMENT""), ""Search Payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-09 07:56:21,2019-10-09 07:56:23,1.223s,PASSED
waitForPageLoad(10),Firefox 68.0,,,2019-10-09 07:56:23,2019-10-09 07:56:23,0.016s,PASSED
pages.Search_Page.switchToWindow(),Firefox 68.0,,,2019-10-09 07:56:23,2019-10-09 07:56:23,0.633s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""SEARCH_PAYMENT/CREDIT_OR_DEBIT_CARD""), ""Credit card"", [mediumWait])",Firefox 68.0,,,2019-10-09 07:56:23,2019-10-09 07:56:26,2.999s,PASSED
