Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Certpay_Quicksti,Chrome 76.0.3809.100,,,2019-10-07 06:03:26,2019-10-07 06:24:04,20m - 37.291s,INCOMPLETE
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_Visa_SingleLinePayment,Chrome 76.0.3809.100,,,2019-10-07 06:03:29,2019-10-07 06:05:16,1m - 46.964s,PASSED
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-07 06:03:32,2019-10-07 06:03:32,0.007s,PASSED
Start setup action : setupTestCase,Chrome 76.0.3809.100,,,2019-10-07 06:03:32,2019-10-07 06:03:34,2.029s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:03:35,2019-10-07 06:04:04,28.863s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/BUREAU_CODE""), bureau_code, ""Bureau code"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:04,2019-10-07 06:04:09,5.255s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/TELLER_ID""), teller_id, ""Bureau code"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:09,2019-10-07 06:04:11,2.062s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/NEXT_BUTTON""), ""Next button"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:11,2019-10-07 06:04:18,6.998s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/MANUAL_ENTRY_BUTTON""), ""ManualEntry"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:18,2019-10-07 06:04:22,3.492s,PASSED
"CardNumber = pages.Quicksti.setUserPaymentDetails(firstName, lastName, VISA)",Chrome 76.0.3809.100,,,2019-10-07 06:04:22,2019-10-07 06:04:28,6.372s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/PAYMENT_TYPE""), ""Taxes"", ""paymentType"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:28,2019-10-07 06:04:30,1.748s,PASSED
"pages.Quicksti.setExpDate(expMonth, expYear, securityCode)",Chrome 76.0.3809.100,,,2019-10-07 06:04:30,2019-10-07 06:04:36,6.177s,PASSED
"pages.Quicksti.setPaymentAmountDetailsForSinglePayment(paymentAmount, quantity)",Chrome 76.0.3809.100,,,2019-10-07 06:04:36,2019-10-07 06:04:39,3.296s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/REFRENCE_NUMBER""), referenceNum, ""Reference Number"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:39,2019-10-07 06:04:40,0.896s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/COMMENTS""), ""Testing"", ""Comments"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:40,2019-10-07 06:04:42,2.098s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/ADDRESS""), address, ""Address"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:42,2019-10-07 06:04:44,1.604s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/ZIP_CODE""), zipCode, ""zipcode"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:44,2019-10-07 06:04:46,1.612s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/TELEPHONE""), telephone, ""Telephone"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:46,2019-10-07 06:04:47,0.991s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/EMAIL_ADDRESS""), emailAddress, ""EMAIL address"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:47,2019-10-07 06:04:48,1.774s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/NEXT_BUTTON""), ""Next"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:48,2019-10-07 06:04:50,1.155s,PASSED
"pages.Quicksti.verifyUserPaymentDetails(paymentAmount, firstName, lastName, CardNumber)",Chrome 76.0.3809.100,,,2019-10-07 06:04:50,2019-10-07 06:04:50,0.604s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-10-07 06:04:50,2019-10-07 06:04:52,2.010s,PASSED
"scrollToElement(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/PROCESS""), 0)",Chrome 76.0.3809.100,,,2019-10-07 06:04:52,2019-10-07 06:04:52,0.187s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/PROCESS""), ""Process"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:04:52,2019-10-07 06:04:54,1.512s,PASSED
"PaymentId = pages.Quicksti.verifyPaymentApproval(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/APPROVED""))",Chrome 76.0.3809.100,,,2019-10-07 06:04:54,2019-10-07 06:04:56,2.335s,PASSED
navigateToUrl(Reports_url),Chrome 76.0.3809.100,,,2019-10-07 06:04:56,2019-10-07 06:04:58,1.353s,PASSED
"pages.Bureau_Login_Page.loginToReportsSite(userName, password, accessCode)",Chrome 76.0.3809.100,,,2019-10-07 06:04:58,2019-10-07 06:05:05,7.238s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/REPORTING""), ""Reporting"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:05:05,2019-10-07 06:05:06,1.342s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/REPORTING""), ""Reporting"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:05:06,2019-10-07 06:05:07,0.902s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/QUICK_FIND_PAYMENT""), ""Quick find payment"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:05:07,2019-10-07 06:05:09,2.341s,PASSED
"utilities.SafeActions.safeType(findTestObject(""SEARCH_PAYMENT/PAYMENT_ID_INPUT_FIELD""), PaymentId, ""Payment id"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:05:09,2019-10-07 06:05:12,2.167s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/SEARCH_BUTTON_1""), ""Search button"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:05:12,2019-10-07 06:05:15,3.809s,PASSED
"pages.Search_Page.validateApprovedTransactionsInReports(PaymentId, ""Visa"", paymentAmount)",Chrome 76.0.3809.100,,,2019-10-07 06:05:15,2019-10-07 06:05:16,0.992s,PASSED
Start tear down : tearDownTestCase,Chrome 76.0.3809.100,,,2019-10-07 06:05:16,2019-10-07 06:05:16,0.001s,PASSED
Start listener action : afterTestCase,Chrome 76.0.3809.100,,,2019-10-07 06:05:16,2019-10-07 06:05:16,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 76.0.3809.100,,,2019-10-07 06:05:16,2019-10-07 06:05:16,0.002s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_Visa_SingleLinePayment,Chrome 76.0.3809.100,,,2019-10-07 06:05:16,2019-10-07 06:06:39,1m - 22.384s,PASSED
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-07 06:05:17,2019-10-07 06:05:17,0.000s,PASSED
Start setup action : setupTestCase,Chrome 76.0.3809.100,,,2019-10-07 06:05:17,2019-10-07 06:05:17,0.002s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:05:17,2019-10-07 06:05:32,14.958s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/BUREAU_CODE""), bureau_code, ""Bureau code"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-07 06:05:32,2019-10-07 06:05:33,1.721s,PASSED
