Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Consumer_Make_Payment,Firefox 68.0,,,2019-10-07 06:03:44,2019-10-07 06:13:44,10m - 0.503s,INCOMPLETE
,,,,,,,
Test Cases/Consumer_Make_Payment/TC_001_Credit_SingleLine_Payment,Firefox 68.0,,,2019-10-07 06:03:45,2019-10-07 06:05:50,2m - 5.114s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-07 06:03:45,2019-10-07 06:03:45,0.017s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-07 06:03:45,2019-10-07 06:03:46,0.304s,PASSED
"utilities.SafeActions.openBrowser(certpay_url, [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:03:46,2019-10-07 06:04:20,33.660s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Home_ Page/BUREAU_CODE""), bureauCode, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:20,2019-10-07 06:04:21,1.343s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/BEGIN_PAYMENT""), ""Begin payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:21,2019-10-07 06:04:25,3.346s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:25,2019-10-07 06:04:28,3.046s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Home_ Page/BANK_CARD""), ""Bank card"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:28,2019-10-07 06:04:30,1.961s,PASSED
"pages.Payment_Page.setAmount(""1"", paymentAmount, ""testing"", referenceNum)",Firefox 68.0,,,2019-10-07 06:04:30,2019-10-07 06:04:32,2.120s,PASSED
waitForPageLoad(0),Firefox 68.0,,,2019-10-07 06:04:32,2019-10-07 06:04:32,0.052s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/CARD_TYPE""), CardType, ""CardType"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:32,2019-10-07 06:04:33,1.379s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/PAYMENT_TYPE""), paymentType, ""Payment Type"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:33,2019-10-07 06:04:35,1.433s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/NEXT_BUTTON""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:35,2019-10-07 06:04:38,2.689s,PASSED
"pages.Payment_Page.setPersonalDetails(firstName, lastName, telephone)",Firefox 68.0,,,2019-10-07 06:04:38,2019-10-07 06:04:40,2.463s,PASSED
"pages.Payment_Page.setLocationDetails(address, zipCode)",Firefox 68.0,,,2019-10-07 06:04:40,2019-10-07 06:04:41,1.468s,PASSED
"pages.Payment_Page.clickOnElement(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""))",Firefox 68.0,,,2019-10-07 06:04:41,2019-10-07 06:04:42,0.151s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), ""Billing CheckBox"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:42,2019-10-07 06:04:47,5.374s,PASSED
waitForPageLoad(2),Firefox 68.0,,,2019-10-07 06:04:47,2019-10-07 06:04:47,0.030s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:47,2019-10-07 06:04:50,2.796s,PASSED
delay(mediumWait),Firefox 68.0,,,2019-10-07 06:04:50,2019-10-07 06:04:55,5.023s,PASSED
"newList = pages.Payment_Page.setCardDetails(cardNum, securityCode, expYear, expMonth)",Firefox 68.0,,,2019-10-07 06:04:55,2019-10-07 06:04:59,4.027s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/EMAIL_ADDRESS""), emailAddress, ""EmailAddress"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:04:59,2019-10-07 06:05:00,0.739s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:05:00,2019-10-07 06:05:03,3.024s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/I_AGREE""), ""I agree"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:05:03,2019-10-07 06:05:06,3.189s,PASSED
"pages.Payment_Page.verifyUserDetails(firstName, lastName, emailAddress, CardType, """")",Firefox 68.0,,,2019-10-07 06:05:06,2019-10-07 06:05:08,2.696s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Verification_ Details/PROCESS_PAYMENT""), ""Process Payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:05:08,2019-10-07 06:05:10,1.079s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Verification_ Details/YES_BUTTON""), ""yes button"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:05:10,2019-10-07 06:05:16,6.599s,PASSED
"verifyElementPresent(findTestObject(""MAKE_ PAYMENT/Verification_ Details/APPROVED""), 30)",Firefox 68.0,,,2019-10-07 06:05:16,2019-10-07 06:05:16,0.130s,PASSED
PaymentId = pages.Payment_Page.verifyCardPaymentApproval(referenceNum),Firefox 68.0,,,2019-10-07 06:05:16,2019-10-07 06:05:20,3.355s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/SEARCH_PAYMENT""), ""Search Payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-07 06:05:20,2019-10-07 06:05:21,1.219s,PASSED
waitForPageLoad(10),Firefox 68.0,,,2019-10-07 06:05:21,2019-10-07 06:05:21,0.121s,PASSED
pages.Search_Page.switchToWindow(),Firefox 68.0,,,2019-10-07 06:05:21,2019-10-07 06:05:21,0.374s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""SEARCH_PAYMENT/CREDIT_OR_DEBIT_CARD""), ""Credit card"", [mediumWait])",Firefox 68.0,,,2019-10-07 06:05:21,2019-10-07 06:05:32,10.507s,PASSED
"pages.Search_Page.setSearchDetails(lastName, cardNum, accNum)",Firefox 68.0,,,2019-10-07 06:05:32,2019-10-07 06:05:34,1.804s,PASSED
