Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Certpay_Quicksti,Firefox 68.0,,,2019-10-08 22:53:21,2019-10-08 23:08:54,15m - 33.111s,INCOMPLETE
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_Visa_SingleLinePayment,Firefox 68.0,,,2019-10-08 22:53:24,2019-10-08 22:54:41,1m - 16.273s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-08 22:53:25,2019-10-08 22:53:25,0.023s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-08 22:53:25,2019-10-08 22:53:26,1.057s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:53:28,2019-10-08 22:53:57,29.152s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/BUREAU_CODE""), bureau_code, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:53:57,2019-10-08 22:53:59,1.900s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/TELLER_ID""), teller_id, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:53:59,2019-10-08 22:54:00,1.036s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/NEXT_BUTTON""), ""Next button"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:00,2019-10-08 22:54:03,2.585s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/MANUAL_ENTRY_BUTTON""), ""ManualEntry"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:03,2019-10-08 22:54:04,1.911s,PASSED
"CardNumber = pages.Quicksti.setUserPaymentDetails(firstName, lastName, VISA)",Firefox 68.0,,,2019-10-08 22:54:04,2019-10-08 22:54:07,2.925s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/PAYMENT_TYPE""), ""Taxes"", ""paymentType"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:07,2019-10-08 22:54:09,1.373s,PASSED
"pages.Quicksti.setExpDate(expMonth, expYear, securityCode)",Firefox 68.0,,,2019-10-08 22:54:09,2019-10-08 22:54:12,3.741s,PASSED
"pages.Quicksti.setPaymentAmountDetailsForSinglePayment(paymentAmount, quantity)",Firefox 68.0,,,2019-10-08 22:54:12,2019-10-08 22:54:15,2.184s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/REFRENCE_NUMBER""), referenceNum, ""Reference Number"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:15,2019-10-08 22:54:15,0.825s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/COMMENTS""), ""Testing"", ""Comments"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:16,2019-10-08 22:54:16,0.977s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/ADDRESS""), address, ""Address"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:16,2019-10-08 22:54:17,0.745s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/ZIP_CODE""), zipCode, ""zipcode"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:17,2019-10-08 22:54:18,0.785s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/TELEPHONE""), telephone, ""Telephone"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:18,2019-10-08 22:54:19,0.805s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/EMAIL_ADDRESS""), emailAddress, ""EMAIL address"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:19,2019-10-08 22:54:20,0.789s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/NEXT_BUTTON""), ""Next"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:20,2019-10-08 22:54:21,1.340s,PASSED
"pages.Quicksti.verifyUserPaymentDetails(paymentAmount, firstName, lastName, CardNumber)",Firefox 68.0,,,2019-10-08 22:54:21,2019-10-08 22:54:22,0.749s,PASSED
delay(2),Firefox 68.0,,,2019-10-08 22:54:22,2019-10-08 22:54:24,2.008s,PASSED
"scrollToElement(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/PROCESS""), 0)",Firefox 68.0,,,2019-10-08 22:54:24,2019-10-08 22:54:24,0.115s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/PROCESS""), ""Process"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:24,2019-10-08 22:54:27,3.046s,PASSED
"PaymentId = pages.Quicksti.verifyPaymentApproval(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/APPROVED""))",Firefox 68.0,,,2019-10-08 22:54:27,2019-10-08 22:54:29,2.308s,PASSED
navigateToUrl(Reports_url),Firefox 68.0,,,2019-10-08 22:54:29,2019-10-08 22:54:30,0.916s,PASSED
"pages.Bureau_Login_Page.loginToReportsSite(userName, password, accessCode)",Firefox 68.0,,,2019-10-08 22:54:30,2019-10-08 22:54:34,4.251s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/REPORTING""), ""Reporting"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:34,2019-10-08 22:54:35,0.890s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/REPORTING""), ""Reporting"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:35,2019-10-08 22:54:36,0.912s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/QUICK_FIND_PAYMENT""), ""Quick find payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:36,2019-10-08 22:54:38,1.492s,PASSED
"utilities.SafeActions.safeType(findTestObject(""SEARCH_PAYMENT/PAYMENT_ID_INPUT_FIELD""), PaymentId, ""Payment id"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:38,2019-10-08 22:54:38,0.811s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/SEARCH_BUTTON_1""), ""Search button"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:38,2019-10-08 22:54:40,1.588s,PASSED
"pages.Search_Page.validateApprovedTransactionsInReports(PaymentId, ""Visa"", paymentAmount)",Firefox 68.0,,,2019-10-08 22:54:40,2019-10-08 22:54:41,0.555s,PASSED
Start tear down : tearDownTestCase,Firefox 68.0,,,2019-10-08 22:54:41,2019-10-08 22:54:41,0.001s,PASSED
Start listener action : afterTestCase,Firefox 68.0,,,2019-10-08 22:54:41,2019-10-08 22:54:41,0.001s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-10-08 22:54:41,2019-10-08 22:54:41,0.001s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_Visa_SingleLinePayment,Firefox 68.0,,,2019-10-08 22:54:41,2019-10-08 22:55:35,54.787s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-08 22:54:41,2019-10-08 22:54:41,0.000s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-08 22:54:41,2019-10-08 22:54:41,0.001s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:41,2019-10-08 22:54:55,13.823s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/BUREAU_CODE""), bureau_code, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:55,2019-10-08 22:54:55,0.861s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/TELLER_ID""), teller_id, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:55,2019-10-08 22:54:56,0.678s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/NEXT_BUTTON""), ""Next button"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:56,2019-10-08 22:54:58,1.667s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/MANUAL_ENTRY_BUTTON""), ""ManualEntry"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:54:58,2019-10-08 22:55:00,1.666s,PASSED
"CardNumber = pages.Quicksti.setUserPaymentDetails(firstName, lastName, VISA)",Firefox 68.0,,,2019-10-08 22:55:00,2019-10-08 22:55:02,2.941s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/PAYMENT_TYPE""), ""Taxes"", ""paymentType"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:02,2019-10-08 22:55:04,1.309s,PASSED
"pages.Quicksti.setExpDate(expMonth, expYear, securityCode)",Firefox 68.0,,,2019-10-08 22:55:04,2019-10-08 22:55:08,4.021s,PASSED
"pages.Quicksti.setPaymentAmountDetailsForSinglePayment(paymentAmount, quantity)",Firefox 68.0,,,2019-10-08 22:55:08,2019-10-08 22:55:10,1.792s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/REFRENCE_NUMBER""), referenceNum, ""Reference Number"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:10,2019-10-08 22:55:11,0.994s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/COMMENTS""), ""Testing"", ""Comments"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:11,2019-10-08 22:55:11,0.704s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/ADDRESS""), address, ""Address"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:11,2019-10-08 22:55:12,0.751s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/ZIP_CODE""), zipCode, ""zipcode"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:12,2019-10-08 22:55:13,0.711s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/TELEPHONE""), telephone, ""Telephone"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:13,2019-10-08 22:55:13,0.707s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/EMAIL_ADDRESS""), emailAddress, ""EMAIL address"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:13,2019-10-08 22:55:14,0.682s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/NEXT_BUTTON""), ""Next"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:14,2019-10-08 22:55:16,1.628s,PASSED
"pages.Quicksti.verifyUserPaymentDetails(paymentAmount, firstName, lastName, CardNumber)",Firefox 68.0,,,2019-10-08 22:55:16,2019-10-08 22:55:16,0.444s,PASSED
delay(2),Firefox 68.0,,,2019-10-08 22:55:16,2019-10-08 22:55:18,2.003s,PASSED
"scrollToElement(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/PROCESS""), 0)",Firefox 68.0,,,2019-10-08 22:55:18,2019-10-08 22:55:18,0.101s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/PROCESS""), ""Process"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:18,2019-10-08 22:55:20,1.873s,PASSED
"PaymentId = pages.Quicksti.verifyPaymentApproval(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/APPROVED""))",Firefox 68.0,,,2019-10-08 22:55:20,2019-10-08 22:55:23,2.423s,PASSED
navigateToUrl(Reports_url),Firefox 68.0,,,2019-10-08 22:55:23,2019-10-08 22:55:23,0.823s,PASSED
"pages.Bureau_Login_Page.loginToReportsSite(userName, password, accessCode)",Firefox 68.0,,,2019-10-08 22:55:23,2019-10-08 22:55:29,5.103s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/REPORTING""), ""Reporting"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:29,2019-10-08 22:55:30,1.302s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/REPORTING""), ""Reporting"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:30,2019-10-08 22:55:31,0.937s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/QUICK_FIND_PAYMENT""), ""Quick find payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:31,2019-10-08 22:55:33,1.859s,PASSED
"utilities.SafeActions.safeType(findTestObject(""SEARCH_PAYMENT/PAYMENT_ID_INPUT_FIELD""), PaymentId, ""Payment id"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:33,2019-10-08 22:55:33,0.733s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/SEARCH_BUTTON_1""), ""Search button"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:33,2019-10-08 22:55:35,1.521s,PASSED
"pages.Search_Page.validateApprovedTransactionsInReports(PaymentId, ""Visa"", paymentAmount)",Firefox 68.0,,,2019-10-08 22:55:35,2019-10-08 22:55:35,0.533s,PASSED
Start tear down : tearDownTestCase,Firefox 68.0,,,2019-10-08 22:55:35,2019-10-08 22:55:35,0.001s,PASSED
Start listener action : afterTestCase,Firefox 68.0,,,2019-10-08 22:55:35,2019-10-08 22:55:35,0.000s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-10-08 22:55:35,2019-10-08 22:55:35,0.001s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_002_Visa_MultiLinePayment,Firefox 68.0,,,2019-10-08 22:55:35,2019-10-08 22:56:43,1m - 7.127s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-08 22:55:36,2019-10-08 22:55:36,0.001s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-08 22:55:36,2019-10-08 22:55:36,0.003s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:37,2019-10-08 22:55:52,15.744s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/MULTI_BUREAU_CHECKBOX""), ""Multi Bureau"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:52,2019-10-08 22:55:55,2.384s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/TELLER_ID""), teller_id, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:55,2019-10-08 22:55:56,0.960s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/NEXT_BUTTON""), ""Next button"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:56,2019-10-08 22:55:58,1.772s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Multi_Bureau_Page/COMMENTS""), comments, ""Payment Amount"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:58,2019-10-08 22:55:58,0.849s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/PAYMENT_AMOUNT""), paymentAmount, ""Payment Amount"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:55:58,2019-10-08 22:55:59,0.978s,PASSED
"pages.Quicksti.setAmountDetailsForMultiBureau(""0"", paymentType, ""0"", referenceNum, quantity)",Firefox 68.0,,,2019-10-08 22:55:59,2019-10-08 22:56:02,2.688s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Multi_Bureau_Page/COMMENTS_2""), comments, ""Payment Amount"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:02,2019-10-08 22:56:03,0.672s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/PAYMENT_AMOUNT""), paymentAmount2, ""Payment Amount"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:03,2019-10-08 22:56:04,0.838s,PASSED
"pages.Quicksti.setAmountDetailsForMultiBureau(""1"", paymentType, ""0"", referenceNum2, quantity)",Firefox 68.0,,,2019-10-08 22:56:04,2019-10-08 22:56:06,2.860s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/MANUAL_ENTRY_BUTTON""), ""ManualEntry"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:06,2019-10-08 22:56:08,1.746s,PASSED
"CardNumber = pages.Quicksti.setUserPaymentDetails(firstName, lastName, VISA)",Firefox 68.0,,,2019-10-08 22:56:08,2019-10-08 22:56:11,3.330s,PASSED
"pages.Quicksti.setExpDate(expMonth, expYear, securityCode)",Firefox 68.0,,,2019-10-08 22:56:11,2019-10-08 22:56:15,3.219s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/ADDRESS""), address, ""Address"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:15,2019-10-08 22:56:15,0.745s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/ZIP_CODE""), zipCode, ""zipcode"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:15,2019-10-08 22:56:16,0.697s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/TELEPHONE""), telephone, ""Telephone"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:16,2019-10-08 22:56:17,0.740s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/EMAIL_ADDRESS""), emailAddress, ""EMAIL address"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:17,2019-10-08 22:56:18,0.690s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/NEXT_BUTTON""), ""Next"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:18,2019-10-08 22:56:19,1.285s,PASSED
"pages.Quicksti.verifyUserPaymentDetails(paymentAmount, firstName, lastName, CardNumber)",Firefox 68.0,,,2019-10-08 22:56:19,2019-10-08 22:56:20,0.643s,PASSED
delay(2),Firefox 68.0,,,2019-10-08 22:56:20,2019-10-08 22:56:22,2.002s,PASSED
"scrollToElement(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/PROCESS""), 0)",Firefox 68.0,,,2019-10-08 22:56:22,2019-10-08 22:56:22,0.141s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/PROCESS""), ""Process"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:22,2019-10-08 22:56:25,3.237s,PASSED
"PaymentID = pages.Quicksti.verifyPaymentApproval(findTestObject(""CERTPAY_QUICKSTI/Payment_Details_Verification_Page/APPROVED""))",Firefox 68.0,,,2019-10-08 22:56:25,2019-10-08 22:56:27,2.344s,PASSED
navigateToUrl(Reports_url),Firefox 68.0,,,2019-10-08 22:56:27,2019-10-08 22:56:29,1.840s,PASSED
"pages.Bureau_Login_Page.loginToReportsSite(userName, password, accessCode)",Firefox 68.0,,,2019-10-08 22:56:29,2019-10-08 22:56:34,4.745s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/REPORTING""), ""Reporting"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:34,2019-10-08 22:56:35,0.856s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/REPORTING""), ""Reporting"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:35,2019-10-08 22:56:36,0.927s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/QUICK_FIND_PAYMENT""), ""Quick find payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:36,2019-10-08 22:56:37,1.657s,PASSED
"utilities.SafeActions.safeType(findTestObject(""SEARCH_PAYMENT/PAYMENT_ID_INPUT_FIELD""), PaymentID, ""Payment id"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:37,2019-10-08 22:56:38,0.802s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SEARCH_PAYMENT/SEARCH_BUTTON_1""), ""Search button"", [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:38,2019-10-08 22:56:40,1.666s,PASSED
"pages.Search_Page.validateApprovedTransactionsInReports(PaymentID, ""Visa"", paymentAmount)",Firefox 68.0,,,2019-10-08 22:56:40,2019-10-08 22:56:40,0.551s,PASSED
closeBrowser(),Firefox 68.0,,,2019-10-08 22:56:40,2019-10-08 22:56:43,2.279s,PASSED
Start tear down : tearDownTestCase,Firefox 68.0,,,2019-10-08 22:56:43,2019-10-08 22:56:43,0.000s,PASSED
Start listener action : afterTestCase,Firefox 68.0,,,2019-10-08 22:56:43,2019-10-08 22:56:43,0.001s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-10-08 22:56:43,2019-10-08 22:56:43,0.000s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_002_Visa_MultiLinePayment,Firefox 68.0,,,2019-10-08 22:56:43,2019-10-08 22:57:45,1m - 2.333s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-08 22:56:43,2019-10-08 22:56:43,0.001s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-08 22:56:43,2019-10-08 22:56:43,0.001s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Firefox 68.0,,,2019-10-08 22:56:43,2019-10-08 22:56:54,11.593s,PASSED
