Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Consumer_Make_Payment,Firefox 68.0,,,2019-10-10 00:58:19,2019-10-10 01:08:31,10m - 11.994s,INCOMPLETE
,,,,,,,
Test Cases/Consumer_Make_Payment/TC_001_Credit_SingleLine_Payment,Firefox 68.0,,,2019-10-10 00:58:20,2019-10-10 01:00:36,2m - 16.450s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-10 00:58:20,2019-10-10 00:58:20,0.016s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-10 00:58:20,2019-10-10 00:58:21,0.578s,PASSED
"utilities.SafeActions.openBrowser(certpay_url, [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:58:22,2019-10-10 00:58:59,37.083s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Home_ Page/BUREAU_CODE""), bureauCode, ""Bureau code"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:58:59,2019-10-10 00:59:00,1.520s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/BEGIN_PAYMENT""), ""Begin payment"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:00,2019-10-10 00:59:04,3.567s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:04,2019-10-10 00:59:08,3.747s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Home_ Page/BANK_CARD""), ""Bank card"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:08,2019-10-10 00:59:10,1.835s,PASSED
"pages.Payment_Page.setAmount(""1"", paymentAmount, ""testing"", referenceNum)",Firefox 68.0,,,2019-10-10 00:59:10,2019-10-10 00:59:12,2.026s,PASSED
waitForPageLoad(0),Firefox 68.0,,,2019-10-10 00:59:12,2019-10-10 00:59:12,0.034s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/CARD_TYPE""), CardType, ""CardType"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:12,2019-10-10 00:59:13,1.415s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/PAYMENT_TYPE""), paymentType, ""Payment Type"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:13,2019-10-10 00:59:14,1.302s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/NEXT_BUTTON""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:14,2019-10-10 00:59:17,2.839s,PASSED
"pages.Payment_Page.setPersonalDetails(firstName, lastName, telephone)",Firefox 68.0,,,2019-10-10 00:59:17,2019-10-10 00:59:19,2.234s,PASSED
"pages.Payment_Page.setLocationDetails(address, zipCode)",Firefox 68.0,,,2019-10-10 00:59:19,2019-10-10 00:59:21,1.563s,PASSED
"pages.Payment_Page.clickOnElement(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""))",Firefox 68.0,,,2019-10-10 00:59:21,2019-10-10 00:59:21,0.150s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), ""Billing CheckBox"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:21,2019-10-10 00:59:27,5.367s,PASSED
waitForPageLoad(2),Firefox 68.0,,,2019-10-10 00:59:27,2019-10-10 00:59:27,0.085s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:27,2019-10-10 00:59:30,2.905s,PASSED
delay(mediumWait),Firefox 68.0,,,2019-10-10 00:59:30,2019-10-10 00:59:35,5.030s,PASSED
"newList = pages.Payment_Page.setCardDetails(cardNum, securityCode, expYear, expMonth)",Firefox 68.0,,,2019-10-10 00:59:35,2019-10-10 00:59:39,4.849s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/EMAIL_ADDRESS""), emailAddress, ""EmailAddress"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:39,2019-10-10 00:59:40,0.907s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:40,2019-10-10 00:59:43,2.803s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/I_AGREE""), ""I agree"", [pageLoadTime])",Firefox 68.0,,,2019-10-10 00:59:43,2019-10-10 00:59:46,2.628s,PASSED
"pages.Payment_Page.verifyUserDetails(firstName, lastName, emailAddress, CardType, """")",Firefox 68.0,,,2019-10-10 00:59:46,2019-10-10 00:59:49,2.899s,PASSED
