Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Certpay_Quicksti,Firefox 68.0,,,2019-10-25 03:55:10,2019-10-25 04:16:09,20m - 58.847s,INCOMPLETE
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_Visa_SingleLinePayment,Firefox 68.0,,,2019-10-25 03:55:11,2019-10-25 03:57:22,2m - 11.358s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-25 03:55:12,2019-10-25 03:55:12,0.010s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-25 03:55:12,2019-10-25 03:55:12,0.387s,PASSED
"utilities.SafeActions.openBrowser(Quicksti_Url, [pageLoadTime])",Firefox 68.0,Open Certpay Quicksti application,,2019-10-25 03:55:13,2019-10-25 03:56:01,47.550s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/BUREAU_CODE""), bureau_code, ""Bureau code"", [pageLoadTime])",Firefox 68.0,Enter 'Bureau code',,2019-10-25 03:56:01,2019-10-25 03:56:03,1.784s,PASSED
"utilities.SafeActions.safeType(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/TELLER_ID""), teller_id, ""Bureau code"", [pageLoadTime])",Firefox 68.0,Enter 'Teller Id',,2019-10-25 03:56:03,2019-10-25 03:56:04,1.262s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Login_ Page/NEXT_BUTTON""), ""Next button"", [pageLoadTime])",Firefox 68.0,Click on 'Next',,2019-10-25 03:56:04,2019-10-25 03:56:08,4.526s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/MANUAL_ENTRY_BUTTON""), ""ManualEntry"", [pageLoadTime])",Firefox 68.0, Click on 'Click here to manually enter card details',,2019-10-25 03:56:08,2019-10-25 03:56:11,3.037s,PASSED
"CardNumber = pages.Quicksti.setUserPaymentDetails(firstName, lastName, VISA)",Firefox 68.0,"Enter firstname,lastname,card number",,2019-10-25 03:56:11,2019-10-25 03:56:14,2.519s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""CERTPAY_QUICKSTI/Payment_Information_Page/PAYMENT_TYPE""), ""Taxes"", ""paymentType"", [pageLoadTime])",Firefox 68.0,Select Payment type,,2019-10-25 03:56:14,2019-10-25 03:56:15,1.519s,PASSED
"pages.Quicksti.setExpDate(expMonth, expYear, securityCode)",Firefox 68.0,"ENter exp date,security code",,2019-10-25 03:56:15,2019-10-25 03:56:20,4.712s,PASSED
