Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Certpay_Quicksti_Sameday_Refunds,Chrome 76.0.3809.100,,,2019-10-25 03:55:44,2019-10-25 04:07:42,11m - 57.404s,INCOMPLETE
,,,,,,,
Test Cases/SameDay_Refunds/TC_001_VISA_SingleTxn_Sameday_FullRefund,Chrome 76.0.3809.100,,,2019-10-25 03:55:46,2019-10-25 03:59:34,3m - 48.559s,PASSED
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-25 03:55:46,2019-10-25 03:55:46,0.011s,PASSED
"callTestCase(findTestCase(""Certpay_Quicksti/TC_001_Visa_SingleLinePayment""), [""expMonth"":""03"", ""expYear"":""2022"", ""securityCode"":""207"", ""paymentAmount"":""15.00"", ""quantity"":""2"", ""referenceNum"":""11"", ""address"":""14-6"", ... ], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-25 03:55:49,2019-10-25 03:59:05,3m - 16.239s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SAME_DAY_REFUNDS/REQUEST_REFUND""), ""Request refund"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-25 03:59:05,2019-10-25 03:59:08,2.719s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SAME_DAY_REFUNDS/SET_TO_FULL_REFUND""), ""Set to full refund"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-25 03:59:08,2019-10-25 03:59:11,3.017s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""SAME_DAY_REFUNDS/CUSTOMER_REQUESTED_REFUND_RADIO_BUTTON""), ""Customer requested"", [pageLoadTime])",Chrome 76.0.3809.100,Select 'Bank card' radio button,,2019-10-25 03:59:11,2019-10-25 03:59:17,6.329s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""SAME_DAY_REFUNDS/REASON_FOR_REFUND_DROPDOWN""), ""Not For This Bureau"", ""Reason for Refund"", [pageLoadTime])",Chrome 76.0.3809.100,Select Payment type,,2019-10-25 03:59:17,2019-10-25 03:59:21,3.532s,PASSED
"originalAmount = pages.Quicksti.getAttributeValue(findTestObject(""SAME_DAY_REFUNDS/ORIGINAL_AMOUNT""))",Chrome 76.0.3809.100,,,2019-10-25 03:59:21,2019-10-25 03:59:21,0.180s,PASSED
"amountToRefund = pages.Quicksti.getAttributeValue(findTestObject(""SAME_DAY_REFUNDS/AMOUNT_TO_REFUND""))",Chrome 76.0.3809.100,,,2019-10-25 03:59:21,2019-10-25 03:59:21,0.209s,PASSED
"result = verifyEqual(amountToRefund, originalAmount)",Chrome 76.0.3809.100,,,2019-10-25 03:59:21,2019-10-25 03:59:21,0.010s,PASSED
if (result),Chrome 76.0.3809.100,,,2019-10-25 03:59:21,2019-10-25 03:59:29,7.771s,PASSED
Start listener action : afterTestCase,Chrome 76.0.3809.100,,,2019-10-25 03:59:29,2019-10-25 03:59:34,5.459s,PASSED
,,,,,,,
Test Cases/SameDay_Refunds/TC_002_VISA_MultiTxn_Sameday_FullRefund,Chrome 76.0.3809.100,,,2019-10-25 03:59:34,2019-10-25 04:03:40,4m - 6.189s,PASSED
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-25 03:59:34,2019-10-25 03:59:34,0.001s,PASSED
"callTestCase(findTestCase(""Certpay_Quicksti/TC_002_Visa_MultiLinePayment""), [""paymentAmount"":""22.00"", ""quantity"":""2"", ""referenceNum"":""11"", ""comments"":""Testing"", ""paymentAmount2"":""33.00"", ""paymentType"":""Licenses"", ... ], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-25 03:59:36,2019-10-25 04:03:09,3m - 32.915s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SAME_DAY_REFUNDS/REQUEST_REFUND""), ""Request refund"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-25 04:03:09,2019-10-25 04:03:13,4.484s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SAME_DAY_REFUNDS/SET_TO_FULL_REFUND""), ""Set to full refund"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-25 04:03:13,2019-10-25 04:03:19,5.631s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""SAME_DAY_REFUNDS/CUSTOMER_REQUESTED_REFUND_RADIO_BUTTON""), ""Customer requested"", [pageLoadTime])",Chrome 76.0.3809.100,Select 'Bank card' radio button,,2019-10-25 04:03:19,2019-10-25 04:03:21,2.635s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""SAME_DAY_REFUNDS/REASON_FOR_REFUND_DROPDOWN""), ""Not For This Bureau"", ""Reason for Refund"", [pageLoadTime])",Chrome 76.0.3809.100,Select Payment type,,2019-10-25 04:03:21,2019-10-25 04:03:23,2.125s,PASSED
"originalAmount = pages.Quicksti.getAttributeValue(findTestObject(""SAME_DAY_REFUNDS/ORIGINAL_AMOUNT""))",Chrome 76.0.3809.100,,,2019-10-25 04:03:23,2019-10-25 04:03:24,0.258s,PASSED
"amountToRefund = pages.Quicksti.getAttributeValue(findTestObject(""SAME_DAY_REFUNDS/AMOUNT_TO_REFUND""))",Chrome 76.0.3809.100,,,2019-10-25 04:03:24,2019-10-25 04:03:24,0.387s,PASSED
"result = verifyEqual(amountToRefund, originalAmount)",Chrome 76.0.3809.100,,,2019-10-25 04:03:24,2019-10-25 04:03:24,0.003s,PASSED
if (result),Chrome 76.0.3809.100,,,2019-10-25 04:03:24,2019-10-25 04:03:38,13.827s,PASSED
Start listener action : afterTestCase,Chrome 76.0.3809.100,,,2019-10-25 04:03:38,2019-10-25 04:03:40,2.620s,PASSED
,,,,,,,
Test Cases/SameDay_Refunds/TC_003_VISA_SingleTxn_Sameday_PartialRefund,Chrome 76.0.3809.100,,,2019-10-25 04:03:41,2019-10-25 04:05:57,2m - 16.735s,PASSED
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-25 04:03:41,2019-10-25 04:03:41,0.000s,PASSED
"callTestCase(findTestCase(""Certpay_Quicksti/TC_001_Visa_SingleLinePayment""), [""expMonth"":""03"", ""expYear"":""2022"", ""securityCode"":""207"", ""paymentAmount"":""15.00"", ""quantity"":""2"", ""referenceNum"":""11"", ""address"":""14-6"", ... ], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-25 04:03:42,2019-10-25 04:05:43,2m - 1.287s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SAME_DAY_REFUNDS/REQUEST_REFUND""), ""Request refund"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-25 04:05:43,2019-10-25 04:05:46,3.211s,PASSED
"utilities.SafeActions.safeType(findTestObject(""SAME_DAY_REFUNDS/AMOUNT_TO_REFUND""), refundAmount, ""Amount"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-25 04:05:46,2019-10-25 04:05:47,0.934s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""SAME_DAY_REFUNDS/CUSTOMER_REQUESTED_REFUND_RADIO_BUTTON""), ""Customer requested"", [pageLoadTime])",Chrome 76.0.3809.100,Select 'Bank card' radio button,,2019-10-25 04:05:47,2019-10-25 04:05:49,1.564s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""SAME_DAY_REFUNDS/REASON_FOR_REFUND_DROPDOWN""), ""Not For This Bureau"", ""Reason for Refund"", [pageLoadTime])",Chrome 76.0.3809.100,Select Payment type,,2019-10-25 04:05:49,2019-10-25 04:05:52,3.282s,PASSED
"originalAmount = pages.Quicksti.getAttributeValue(findTestObject(""SAME_DAY_REFUNDS/ORIGINAL_AMOUNT""))",Chrome 76.0.3809.100,,,2019-10-25 04:05:52,2019-10-25 04:05:52,0.135s,PASSED
"result = verifyLessThanOrEqual(refundAmount, originalAmount)",Chrome 76.0.3809.100,,,2019-10-25 04:05:52,2019-10-25 04:05:52,0.008s,PASSED
if (result),Chrome 76.0.3809.100,,,2019-10-25 04:05:52,2019-10-25 04:05:56,3.511s,PASSED
Start listener action : afterTestCase,Chrome 76.0.3809.100,,,2019-10-25 04:05:56,2019-10-25 04:05:57,1.555s,PASSED
,,,,,,,
Test Cases/SameDay_Refunds/TC_004_VISA_MultiTxn_Sameday_PartialRefund,Chrome 76.0.3809.100,,,2019-10-25 04:05:57,2019-10-25 04:07:42,1m - 44.441s,PASSED
Start listener action : beforeTestCase,Chrome 76.0.3809.100,,,2019-10-25 04:05:57,2019-10-25 04:05:57,0.003s,PASSED
"callTestCase(findTestCase(""Certpay_Quicksti/TC_002_Visa_MultiLinePayment""), [""paymentAmount"":""22.00"", ""quantity"":""2"", ""referenceNum"":""11"", ""comments"":""Testing"", ""paymentAmount2"":""33.00"", ""paymentType"":""Licenses"", ... ], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-10-25 04:05:58,2019-10-25 04:07:30,1m - 31.649s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""SAME_DAY_REFUNDS/REQUEST_REFUND""), ""Request refund"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-25 04:07:30,2019-10-25 04:07:32,1.875s,PASSED
"utilities.SafeActions.safeType(findTestObject(""SAME_DAY_REFUNDS/AMOUNT_TO_REFUND""), refundAmount, ""Amount"", [pageLoadTime])",Chrome 76.0.3809.100,,,2019-10-25 04:07:32,2019-10-25 04:07:32,0.845s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""SAME_DAY_REFUNDS/CUSTOMER_REQUESTED_REFUND_RADIO_BUTTON""), ""Customer requested"", [pageLoadTime])",Chrome 76.0.3809.100,Select 'Bank card' radio button,,2019-10-25 04:07:32,2019-10-25 04:07:34,1.311s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""SAME_DAY_REFUNDS/REASON_FOR_REFUND_DROPDOWN""), ""Not For This Bureau"", ""Reason for Refund"", [pageLoadTime])",Chrome 76.0.3809.100,Select Payment type,,2019-10-25 04:07:34,2019-10-25 04:07:35,1.407s,PASSED
"originalAmount = pages.Quicksti.getAttributeValue(findTestObject(""SAME_DAY_REFUNDS/ORIGINAL_AMOUNT""))",Chrome 76.0.3809.100,,,2019-10-25 04:07:35,2019-10-25 04:07:35,0.116s,PASSED
"result = verifyLessThanOrEqual(refundAmount, originalAmount)",Chrome 76.0.3809.100,,,2019-10-25 04:07:35,2019-10-25 04:07:35,0.002s,PASSED
if (result),Chrome 76.0.3809.100,,,2019-10-25 04:07:35,2019-10-25 04:07:38,2.272s,PASSED
Start listener action : afterTestCase,Chrome 76.0.3809.100,,,2019-10-25 04:07:38,2019-10-25 04:07:42,4.288s,PASSED
