Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Consumer_Make_Payment,Firefox 68.0,,,2019-10-25 03:55:29,2019-10-25 04:07:24,11m - 55.470s,INCOMPLETE
,,,,,,,
Test Cases/Consumer_Make_Payment/TC_001_Credit_SingleLine_Payment,Firefox 68.0,,,2019-10-25 03:55:30,2019-10-25 03:58:01,2m - 31.045s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-25 03:55:32,2019-10-25 03:55:32,0.012s,PASSED
Start setup action : setupTestCase,Firefox 68.0,,,2019-10-25 03:55:32,2019-10-25 03:55:32,0.307s,PASSED
"utilities.SafeActions.openBrowser(certpay_url, [pageLoadTime])",Firefox 68.0,Open Certpay application,,2019-10-25 03:55:33,2019-10-25 03:56:27,53.982s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Home_ Page/BUREAU_CODE""), bureauCode, ""Bureau code"", [pageLoadTime])",Firefox 68.0,Enter valid Bureau code,,2019-10-25 03:56:27,2019-10-25 03:56:29,1.461s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/BEGIN_PAYMENT""), ""Begin payment"", [pageLoadTime])",Firefox 68.0,Click on 'Begin Payment',,2019-10-25 03:56:29,2019-10-25 03:56:31,2.531s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,Click on 'Continue',,2019-10-25 03:56:31,2019-10-25 03:56:34,2.125s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Home_ Page/BANK_CARD""), ""Bank card"", [pageLoadTime])",Firefox 68.0,Select 'Bank card' radio button,,2019-10-25 03:56:34,2019-10-25 03:56:35,1.777s,PASSED
"pages.Payment_Page.setAmount(""1"", paymentAmount, ""testing"", referenceNum)",Firefox 68.0,"Enter Payment Amount,reference num,comments",,2019-10-25 03:56:35,2019-10-25 03:56:37,2.069s,PASSED
waitForPageLoad(0),Firefox 68.0,,,2019-10-25 03:56:37,2019-10-25 03:56:37,0.038s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/CARD_TYPE""), CardType, ""CardType"", [pageLoadTime])",Firefox 68.0,Select 'Visa' from card type dropdown,,2019-10-25 03:56:37,2019-10-25 03:56:39,1.370s,PASSED
"utilities.SafeActions.safeSelectOptionInDropdownByVisibleText(findTestObject(""MAKE_ PAYMENT/Home_ Page/PAYMENT_TYPE""), paymentType, ""Payment Type"", [pageLoadTime])",Firefox 68.0,Select 'Payment type',,2019-10-25 03:56:39,2019-10-25 03:56:40,1.297s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/NEXT_BUTTON""), ""Continue"", [pageLoadTime])",Firefox 68.0,Click on 'Continue',,2019-10-25 03:56:40,2019-10-25 03:56:42,2.403s,PASSED
"pages.Payment_Page.setPersonalDetails(firstName, lastName, telephone)",Firefox 68.0,"Enter First and Last name,telephone",,2019-10-25 03:56:42,2019-10-25 03:56:46,3.030s,PASSED
"pages.Payment_Page.setLocationDetails(address, zipCode)",Firefox 68.0,"Enter address and zip code
",,2019-10-25 03:56:46,2019-10-25 03:56:48,2.388s,PASSED
"waitForElementClickable(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), 30)",Firefox 68.0,,,2019-10-25 03:56:48,2019-10-25 03:56:48,0.215s,PASSED
"pages.Payment_Page.clickOnElement(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""))",Firefox 68.0,Click on 'Continue',,2019-10-25 03:56:48,2019-10-25 03:56:48,0.340s,PASSED
"waitForElementClickable(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), 30)",Firefox 68.0,,,2019-10-25 03:56:48,2019-10-25 03:56:50,1.791s,PASSED
"utilities.SafeActions.safeCheck(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/CheckBox""), ""Billing CheckBox"", [pageLoadTime])",Firefox 68.0,"""Select checkbox 'My billing information is same 
information i entered in previous page'""",,2019-10-25 03:56:50,2019-10-25 03:56:53,2.769s,PASSED
waitForPageLoad(2),Firefox 68.0,,,2019-10-25 03:56:53,2019-10-25 03:56:53,0.091s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,Click on 'Continue',,2019-10-25 03:56:53,2019-10-25 03:56:55,2.196s,PASSED
delay(mediumWait),Firefox 68.0,,,2019-10-25 03:56:55,2019-10-25 03:57:00,5.030s,PASSED
"pages.Payment_Page.setCardDetails(cardNum, securityCode, expYear, expMonth)",Firefox 68.0,"Enter card number,exp date, exp month and security code
",,2019-10-25 03:57:00,2019-10-25 03:57:06,5.738s,PASSED
"utilities.SafeActions.safeType(findTestObject(""MAKE_ PAYMENT/Consumer_Personal_ Details/EMAIL_ADDRESS""), emailAddress, ""EmailAddress"", [pageLoadTime])",Firefox 68.0,"Enter Email address
",,2019-10-25 03:57:06,2019-10-25 03:57:07,1.128s,PASSED
"utilities.SafeActions.safeClick(findTestObject(""MAKE_ PAYMENT/Home_ Page/CONTINUE""), ""Continue"", [pageLoadTime])",Firefox 68.0,Click on continue,,2019-10-25 03:57:07,2019-10-25 03:57:09,2.229s,PASSED
