Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Quicksti,Firefox 68.0,,,2019-10-29 08:04:19,2019-10-29 08:33:34,29m - 15.845s,INCOMPLETE
,,,,,,,
Test Cases/Certpay_Quicksti/TC_001_SingleBureauSite_SingleLinePayment,Firefox 68.0,,,2019-10-29 08:04:19,2019-10-29 08:10:12,5m - 52.641s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-29 08:04:21,2019-10-29 08:04:21,0.006s,PASSED
"data = findTestData(""Data Files/Certpay/SingleBureau_SingleLine"")",Firefox 68.0,,,2019-10-29 08:04:22,2019-10-29 08:04:25,2.457s,PASSED
paymentIdList = [],Firefox 68.0,,,2019-10-29 08:04:25,2019-10-29 08:04:25,0.000s,PASSED
for (def index : (1..data.getRowNumbers())),Firefox 68.0,,,2019-10-29 08:04:25,2019-10-29 08:10:06,5m - 41.431s,PASSED
return paymentIdList,Firefox 68.0,,,2019-10-29 08:10:06,2019-10-29 08:10:06,0.001s,PASSED
Start listener action : afterTestCase,Firefox 68.0,,,2019-10-29 08:10:06,2019-10-29 08:10:12,5.707s,PASSED
Start listener action : sampleAfterTestCase,Firefox 68.0,,,2019-10-29 08:10:12,2019-10-29 08:10:12,0.001s,PASSED
,,,,,,,
Test Cases/Certpay_Quicksti/TC_002_MultiBureauSite_SingleBureau_MultiLinePayment,Firefox 68.0,,,2019-10-29 08:10:12,2019-10-29 08:16:08,5m - 55.829s,PASSED
Start listener action : beforeTestCase,Firefox 68.0,,,2019-10-29 08:10:12,2019-10-29 08:10:12,0.001s,PASSED
"data = findTestData(""Certpay/SingleBureau_MultiLine"")",Firefox 68.0,,,2019-10-29 08:10:13,2019-10-29 08:10:13,0.107s,PASSED
amountList = [],Firefox 68.0,,,2019-10-29 08:10:13,2019-10-29 08:10:13,0.001s,PASSED
referenceList = [],Firefox 68.0,,,2019-10-29 08:10:13,2019-10-29 08:10:13,0.000s,PASSED
paymentTypeList = [],Firefox 68.0,,,2019-10-29 08:10:13,2019-10-29 08:10:13,0.002s,PASSED
quantityList = [],Firefox 68.0,,,2019-10-29 08:10:13,2019-10-29 08:10:13,0.001s,PASSED
commentsList = [],Firefox 68.0,,,2019-10-29 08:10:13,2019-10-29 08:10:13,0.001s,PASSED
